"user_id","dt","inc_amt"
101318,2017-03-08,9.86
101319,2017-03-08,24.52
101320,2017-03-08,24.84
101322,2017-03-08,22.34
101323,2017-03-08,35.88
101324,2017-03-08,36.66
101328,2017-03-08,15.89
101329,2017-03-08,120.97
100140,2017-03-08,28.26
101226,2017-03-08,13.52
101339,2017-03-08,36.49
100885,2017-03-08,31.34
101341,2017-03-08,97.31
101027,2017-03-08,19.53
101342,2017-03-08,94.42
101343,2017-03-08,27.87
101344,2017-03-08,19.35
101345,2017-03-08,24.13
100051,2017-03-08,23.95
100500,2017-03-08,29.84
101346,2017-03-08,11.36
100178,2017-03-08,37.44
101161,2017-03-08,58.03
101187,2017-03-08,15.96
101184,2017-03-08,17.19
101347,2017-03-08,16.37
101202,2017-03-08,61.79
100209,2017-03-08,33.89
101348,2017-03-08,51.5
101349,2017-03-08,85.32
100051,2017-03-08,22.38
100148,2017-03-08,33.24
101355,2017-03-08,41.2
100214,2017-03-08,15.55
100729,2017-03-08,40.14
100351,2017-03-08,27.28
101360,2017-03-08,73.94
100289,2017-03-08,74.86
101361,2017-03-08,11.96
101243,2017-03-08,15.66
101364,2017-03-08,29.1
101367,2017-03-08,95.54
101370,2017-03-08,55.73
101373,2017-03-08,16.57
100954,2017-03-08,72.69
101378,2017-03-08,23.69
101379,2017-03-08,17.84
101380,2017-03-08,36.39
101383,2017-03-08,21.66
101384,2017-03-08,69.82
100264,2017-03-08,57.42
101391,2017-03-08,19.57
101392,2017-03-08,41.2
101393,2017-03-08,30.91
100599,2017-03-08,106.61
101394,2017-03-08,21.51
101395,2017-03-08,26.56
101396,2017-03-08,16.51
101397,2017-03-08,27.78
101262,2017-03-08,18.07
101398,2017-03-08,33.76
101399,2017-03-08,21.81
101400,2017-03-08,298.26
101401,2017-03-08,105.45
101402,2017-03-08,90.79
100342,2017-03-08,32.78
101406,2017-03-08,150
101408,2017-03-08,12.8
101409,2017-03-08,23.58
101411,2017-03-08,111.37
101412,2017-03-08,77.42
101415,2017-03-08,31.5
101417,2017-03-08,18.92
101418,2017-03-08,116.96
101421,2017-03-08,63.63
101423,2017-03-08,19.2
101426,2017-03-08,35.19
101428,2017-03-08,254.95
101431,2017-03-08,44.78
100005,2017-03-08,15.39
101432,2017-03-08,57.19
101433,2017-03-08,736.72
100080,2017-03-08,13.78
101435,2017-03-08,19.15
100340,2017-03-08,507.52
101436,2017-03-08,43.36
101406,2017-03-08,45.82
101437,2017-03-08,21.17
101438,2017-03-08,14.89
101440,2017-03-08,117.29
101434,2017-03-08,20.94
101441,2017-03-08,18.25
100614,2017-03-08,12.28
101444,2017-03-08,112.99
101445,2017-03-08,50.68
101446,2017-03-08,34.49
101447,2017-03-08,17.32
101448,2017-03-08,45.05
100109,2017-03-08,654.55
101449,2017-03-08,18.65
101454,2017-03-08,48.51
101455,2017-03-08,13.28
101456,2017-03-08,70.86
101457,2017-03-08,19.29
101459,2017-03-09,40.51
101460,2017-03-09,63.92
101462,2017-03-09,32.56
101463,2017-03-09,45.95
101255,2017-03-09,22.93
101466,2017-03-09,1542.31
101468,2017-03-09,128.53
101469,2017-03-09,54.64
101471,2017-03-09,54.87
101472,2017-03-09,29.17
100259,2017-03-09,325.29
101473,2017-03-09,63.18
101475,2017-03-09,10.97
101476,2017-03-09,34.19
101477,2017-03-09,13.7
101478,2017-03-09,30.97
101480,2017-03-09,120
101483,2017-03-09,51.59
101484,2017-03-09,37.3
101485,2017-03-09,226.17
101488,2017-03-09,76.38
101489,2017-03-09,568.83
101492,2017-03-09,15.95
101493,2017-03-09,53.52
100762,2017-03-09,848.28
101494,2017-03-09,89.25
101495,2017-03-09,44.93
101496,2017-03-09,109.53
100591,2017-03-09,33.77
101497,2017-03-09,32.69
101498,2017-03-09,184.29
101499,2017-03-09,66.38
101502,2017-03-09,69.53
101503,2017-03-09,12.28
101499,2017-03-09,8.81
101504,2017-03-09,94.48
101505,2017-03-09,55.08
101506,2017-03-09,87.15
101507,2017-03-09,28.74
101508,2017-03-09,116.89
101512,2017-03-09,243.78
101513,2017-03-09,13.7
101515,2017-03-09,11
101516,2017-03-09,286.42
101517,2017-03-09,20.78
101518,2017-03-09,32.94
101519,2017-03-09,69.92
101182,2017-03-09,57.31
101523,2017-03-09,40.84
101524,2017-03-09,13.2
101526,2017-03-09,211.24
101527,2017-03-09,41.84
101528,2017-03-09,19.03
101529,2017-03-09,118.72
101530,2017-03-09,43.3
101533,2017-03-09,17.25
101534,2017-03-09,131.5
101535,2017-03-09,49.67
101536,2017-03-09,780.3
101539,2017-03-09,15.15
101540,2017-03-09,27.29
101544,2017-03-09,16.68
101545,2017-03-09,21.3
101547,2017-03-09,43.19
101548,2017-03-09,116.38
100420,2017-03-09,359.8
101551,2017-03-09,320.16
101552,2017-03-09,13.12
101553,2017-03-09,118.9
101554,2017-03-09,11.05
101556,2017-03-09,15.18
101557,2017-03-09,30.28
101559,2017-03-09,18.59
101564,2017-03-09,21.4
101569,2017-03-09,179.8
101572,2017-03-09,59.54
101573,2017-03-09,12.46
101574,2017-03-09,102.52
101576,2017-03-09,20.42
101577,2017-03-09,90.17
100066,2017-03-09,26.53
101581,2017-03-09,18.98
101583,2017-03-09,21.27
100368,2017-03-09,14.8
101587,2017-03-09,27.09
101589,2017-03-09,55.78
101366,2017-03-09,27.17
101590,2017-03-09,108.09
101591,2017-03-09,133.71
101592,2017-03-09,134.88
101595,2017-03-10,384.38
101597,2017-03-10,45.2
101599,2017-03-10,19.56
101601,2017-03-10,14.89
100391,2017-03-10,78.27
101602,2017-03-10,55.8
101603,2017-03-10,18.44
101605,2017-03-10,88.5
101049,2017-03-10,133.33
100952,2017-03-10,72.09
101607,2017-03-10,62.64
101609,2017-03-10,118.92
101610,2017-03-10,17.31
101611,2017-03-10,24.19
101612,2017-03-10,21.29
101613,2017-03-10,35.52
101179,2017-03-10,41.12
101615,2017-03-10,75.16
101619,2017-03-10,31.73
101621,2017-03-10,28.8
101622,2017-03-10,15.27
101623,2017-03-10,71.38
101624,2017-03-10,195.47
101625,2017-03-10,48.46
100626,2017-03-10,207.14
101627,2017-03-10,85.23
101628,2017-03-10,42.83
101629,2017-03-10,37.29
101636,2017-03-10,67.98
101637,2017-03-10,12.9
101640,2017-03-10,19.82
100946,2017-03-10,10.83
101336,2017-03-10,12.68
101642,2017-03-10,60.05
100193,2017-03-10,17.23
101643,2017-03-10,33.16
101644,2017-03-10,23
101646,2017-03-10,56.6
101647,2017-03-10,92.11
101649,2017-03-10,17.55
101650,2017-03-10,367.05
100239,2017-03-10,67.13
101651,2017-03-10,996.3
101652,2017-03-10,18.77
101654,2017-03-10,136.49
101657,2017-03-10,57.05
101658,2017-03-10,117.62
100461,2017-03-10,59.43
100799,2017-03-10,46.3
101661,2017-03-10,47.25
101414,2017-03-10,85.24
101662,2017-03-10,385.14
101664,2017-03-10,93.21
100448,2017-03-10,379.63
101668,2017-03-10,153.09
100599,2017-03-10,98.99
101671,2017-03-10,22.79
101672,2017-03-10,14.54
101676,2017-03-10,545.83
100508,2017-03-10,101.38
100379,2017-03-10,181.85
101680,2017-03-10,14.54
100131,2017-03-10,55.36
